device,tid,sid,group,id,address,read_address,address_mpxa,address_mpxd,address_width,address_taw,address_tbb,read_address_mpxa,read_address_mpxd,read_address_width,type,len,factor,offset,unit,signed,min,max,persistent,protect,volatile,since,until,description
battery,0x50,0x58,pcbSn,location,0xa0a0,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,string,1,,,,,,,,,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,year,0xa099,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,month,0xa09a,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,day,0xa09b,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,item,0xa09e 0xa09f,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,timer,power,0x51 0x52,,,,,,,,,,scalar,,,,s,,,,,,,rev.sw count 75,,Time before the power output shuts down.
battery,0x50,0x58,timer,accessory,0x53 0x54,,,,,,,,,,scalar,,,,s,,,,,,,rev.sw count 75,,Time before the accessory voltage shuts down.
battery,0x50,0x58,timer,preCharge,0x55,,,,,,,,,,scalar,,,,s,,,,,,,rev.sw count 75,,"Time allowed to precharge the motor, before enabling full power."
battery,0x50,0x58,timer,masterShutdown,0x56 0x57,,,,,,,,,,scalar,,0.5,,,,,,,,,,rev.sw count 75,
battery,0x50,0x58,timer,masterShutdown,0x56 0x57,,,,,,,,,,scalar,,,,,,,,,,,rev.sw count 76,,
battery,0x50,0x58,status,v5V,,203,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.sw count 108 rev.hw enum 60,,Internal voltage of the 5(5.5)V derived from the internal 12V.
battery,0x50,0x58,status,v3V3,,202,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.sw count 108 rev.hw enum 60,,Internal voltage of the 3.3V derived from the internal 5V.
battery,0x50,0x58,status,vPackId,,201,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.sw count 108 rev.hw enum 60,,Raw voltage of the resistor divider used to identify the cell pack.
battery,0x50,0x58,status,vBomId,,200,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.sw count 108 rev.hw enum 60,,Raw voltage of the resistor divider used to identify the revision of the BOM.
battery,0x50,0x58,status,flags,,0xf0,,,,,,,,,enum,,,,,,,,,,yes,,rev.hw count 52,
battery,0x50,0x58,status,flags,,0x1d 0xf0,,,,,,,,,enum,,,,,,,,,,yes,rev.hw count 60,,"Alert status bits: 0-Vctrl (code 20), 1-Precharge (code 21 and 67), 2-Relay (code 22), 3-BMS (code 23), 4-DCDC (code 28), 6-GG out of range temperature, 7-battery pack out of range temperature, 8-balancer overvolt (code 62), 9-Balancer undervolt (code 61), 10-Pack problem (code 63), 11-Accessory overcurrent (code 60), 12-Electronic fuse (code 66), 13-Balancer plug not connected, 14- +5v short(lached)"
battery,0x50,0x58,status,testFlags,0xa0fd 0xa0fe,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,,,rev.hw enum 60,,Gives battery test information (see /wiki/EepromForTester)
battery,0x50,0x58,status,permanentFailureFlags,0xa0a1,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,,,rev.hw enum 60,,Having this register set to an non-0xFF or non-zero value indicates this battery shouldn't be used (see /wiki/EepromForTester)
battery,0x50,0x58,status,chargerManagerStatus,,0x13,,,,,,,,,count,,,,,,,,,,yes,rev.sw count 102 rev.hw enum 60,,"Gives state of charging Mef: 0-Off, 1-Stand-by, 2-Charger, 3-Accessory, 4-Vdcin sense, 5-Overtemp, 6-Charge done, 7-Buck failed"
battery,0x50,0x58,status,vBattNorm,,0x32,,,,,,,,,scalar,,0.416667,20.8333,%,,,,,,yes,,,Battery voltage normalized with 3.7V/cell. status.vBattInternal it used in Rev 104 and less otherwise status.vBatt.
battery,0x50,0x58,status,vBattInternal,,0x4a 0x4b,,,,,,,,,scalar,,0.001,,V,,,,,,yes,,,Reading of vBattInternal
battery,0x50,0x58,status,vBattAvgNorm,,0x33,,,,,,,,,scalar,,0.416667,20.8333,%,,,,,,yes,,,
battery,0x50,0x58,status,vBatt,,0xa6 0xa7,,,,,,,,,scalar,,0.001,,V,,,,,,yes,,,Reading of vBatt. Return same value as vCell13
battery,0x50,0x58,status,vPower,,0xaa 0xab,,,,,,,,,scalar,,0.001,,V,,,,,,yes,,,"Reading of vPower (""High"" voltage applied to motor)"
battery,0x50,0x58,status,vControl,,0xac 0xad,,,,,,,,,scalar,,0.001,,V,,,,,,yes,,,Reading of vControl (Control voltage applied to motor)
battery,0x50,0x58,status,vConsole,,0x4c 0x4d,,,,,,,,,scalar,,0.001,,V,,,,,,yes,,,Reading of vConsole (voltage applied to console)
battery,0x50,0x58,status,v12V,,0x4e 0x4f,,,,,,,,,scalar,,0.001,,V,,,,,,yes,,,Reading of internal 12V
battery,0x50,0x58,status,vAccessory,,0x5e 0x5f,,,,,,,,,scalar,,0.001,,V,,,,,,yes,,,Reading of vAccessory
battery,0x50,0x58,status,vDcIn,,0x9a 0x9b,,,,,,,,,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,Reading of external power supply voltage
